2089	7270	303	819	253	100	49	358	417	469	264	40	104	714	807	215	54	204
2919	43620	825	2416	987	321	238	1254	2365	3098	935	84	340	1369	1936	618	109	410
391	4478	8872	1920	1792	497	123	2085	1961	583	261	154	424	1182	575	151	45	115
596	7062	1450	12559	981	331	611	1897	2081	1402	589	211	833	1965	3139	197	130	186
120	1811	755	318	1384	77	56	629	1464	349	106	20	93	288	425	36	12	33
60	291	102	70	31	496	10	483	70	29	7	66	58	79	25	23	2	8
14	311	59	150	53	33	225	212	326	75	39	13	64	55	35	0	1	0
112	2178	1063	774	727	882	330	3422	1457	368	112	250	530	428	462	50	16	25
187	4079	765	815	1587	190	301	1520	3265	809	295	40	230	496	773	54	25	61
115	3078	109	508	174	38	37	209	457	514	147	17	75	196	311	61	9	18
130	1975	164	569	171	42	24	200	331	383	275	17	55	312	192	62	18	55
8	190	100	138	34	163	12	298	67	28	12	103	126	58	26	8	1	6
64	904	294	584	155	141	120	650	244	131	46	114	379	209	168	9	7	14
992	6066	1230	3404	741	424	153	1126	1068	816	442	189	458	2003	1037	252	104	248
378	2504	224	1637	328	47	97	328	601	493	191	34	125	482	2471	101	35	41
405	1606	97	179	44	36	11	106	59	114	39	14	28	155	68	309	10	53
65	441	35	78	27	11	6	61	58	45	39	2	14	95	44	36	55	19
253	1433	141	530	129	44	16	238	245	160	126	22	93	308	145	51	18	189
